,sc_row,sp_char_coord,cnt,gear_ratio,adj
452,86,51,2,201536,[536 376]
453,86,57,2,16080,[ 20 804]
454,86,78,2,160785,[397 405]
457,86,126,2,82800,[200 414]
458,87,38,2,80115,[147 545]
459,87,71,2,255285,[465 549]
460,87,100,2,22223,[ 71 313]
466,89,22,2,104550,[850 123]
469,89,48,2,7548,[629  12]
475,90,65,2,149443,[259 577]
480,90,121,2,117180,[124 945]
481,91,40,2,611286,[663 922]
484,91,99,2,702464,[896 784]
485,91,108,2,799504,[856 934]
487,92,31,2,18124,[ 46 394]
488,92,86,2,50382,[ 81 622]
489,93,5,2,411032,[538 764]
492,94,13,2,566115,[803 705]
493,94,27,2,704438,[938 751]
497,95,42,2,382184,[473 808]
498,95,56,2,71380,[430 166]
499,95,94,2,354812,[829 428]
508,97,76,2,100368,[153 656]
514,98,32,2,107551,[821 131]
515,98,62,2,545138,[698 781]
517,98,99,2,297990,[301 990]
525,100,45,2,20608,[644  32]
526,100,55,2,89300,[190 470]
530,100,97,2,142126,[358 397]
531,100,112,2,26691,[ 31 861]
532,101,22,2,147225,[453 325]
534,101,106,2,655811,[793 827]
535,101,131,2,801540,[915 876]
537,102,60,2,361772,[596 607]
539,102,122,2,144990,[537 270]
540,102,129,2,276028,[302 914]
543,103,68,2,485361,[597 813]
544,103,91,2,24795,[261  95]
546,104,6,2,781109,[839 931]
549,104,134,2,340308,[822 414]
551,105,93,2,10062,[234  43]
552,105,107,2,715,[11 65]
556,106,40,2,384568,[907 424]
557,106,62,2,288422,[998 289]
558,106,77,2,793728,[832 954]
564,107,33,2,26800,[268 100]
566,107,67,2,5508,[ 12 459]
567,108,50,2,129585,[815 159]
571,109,57,2,507224,[568 893]
572,109,72,2,27950,[325  86]
574,110,11,2,46860,[132 355]
576,110,28,2,426510,[677 630]
577,110,62,2,224510,[715 314]
579,110,85,2,288080,[520 554]
580,110,127,2,200900,[410 490]
581,111,19,2,232902,[454 513]
582,111,88,2,176754,[267 662]
585,112,51,2,275600,[650 424]
588,112,123,2,26460,[735  36]
589,113,40,2,356240,[488 730]
590,113,71,2,167736,[241 696]
592,113,136,2,145512,[423 344]
598,115,11,2,298616,[652 458]
599,115,26,2,446992,[614 728]
601,115,74,2,46410,[663  70]
603,115,91,2,1728,[192   9]
607,116,15,2,72670,[845  86]
609,116,62,2,157734,[207 762]
610,116,112,2,4980,[249  20]
613,117,3,2,98091,[189 519]
616,117,58,2,628320,[680 924]
617,117,99,2,281792,[296 952]
618,117,116,2,543600,[906 600]
619,118,19,2,238592,[466 512]
624,119,9,2,3705,[741   5]
626,119,62,2,370821,[661 561]
627,119,71,2,30385,[103 295]
629,120,44,2,695800,[980 710]
631,121,20,2,190944,[442 432]
632,121,32,2,26944,[ 64 421]
636,121,108,2,374496,[498 752]
637,121,131,2,187054,[434 431]
639,122,26,2,237237,[869 273]
640,122,34,2,41080,[316 130]
642,122,78,2,358136,[503 712]
644,122,98,2,125236,[239 524]
645,123,3,2,130247,[233 559]
649,123,123,2,161394,[222 727]
650,124,69,2,646204,[884 731]
651,124,103,2,155688,[312 499]
652,124,113,2,32806,[349  94]
655,125,21,2,226611,[981 231]
656,125,56,2,565896,[969 584]
657,125,65,2,2624,[41 64]
661,126,34,2,72618,[114 637]
664,126,87,2,534289,[889 601]
667,127,14,2,75235,[367 205]
668,127,47,2,8946,[ 42 213]
670,128,4,2,307110,[870 353]
673,128,98,2,304262,[422 721]
676,129,31,2,440238,[921 478]
677,129,64,2,629755,[665 947]
678,129,112,2,711264,[744 956]
679,129,130,2,699336,[792 883]
680,130,23,2,359904,[978 368]
684,130,84,2,80772,[381 212]
687,130,119,2,220740,[283 780]
688,131,61,2,311168,[748 416]
691,131,106,2,231384,[248 933]
702,133,70,2,558697,[701 797]
703,133,83,2,333585,[353 945]
705,133,111,2,135850,[475 286]
706,133,128,2,640157,[763 839]
707,134,5,2,610060,[649 940]
716,136,101,2,37976,[376 101]
723,137,71,2,412775,[475 869]
725,138,14,2,349679,[383 913]
728,138,82,2,73470,[474 155]
733,138,126,2,117750,[471 250]
